T17	Labour force participation and unemployment					
Region_Country/Area		Year	Serias	Value	Foodnotes	Source
24	Angola	2023	Unemployment rate - Female	09. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2005	Labour force participation - Total	61.5		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2005	Unemployment rate - Total	11. Mai		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2005	Labour force participation - Male	74.6		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2005	Unemployment rate - Male	10. Jan		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2005	Labour force participation - Female	49.1		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2005	Unemployment rate - Female	13. Jun		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2010	Labour force participation - Total	60.2		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2010	Unemployment rate - Total	07. Jul		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2010	Labour force participation - Male	73.3		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2010	Unemployment rate - Male	06. Jul		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2010	Labour force participation - Female	47.7		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2010	Unemployment rate - Female	09. Feb		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2015	Labour force participation - Total	59.2	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2015	Unemployment rate - Total	07. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2015	Labour force participation - Male	71.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2015	Unemployment rate - Male	06. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2015	Labour force participation - Female	47.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2015	Unemployment rate - Female	08. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2023	Labour force participation - Total	59.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2023	Unemployment rate - Total	06. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2023	Labour force participation - Male	69.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2023	Unemployment rate - Male	6.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2023	Labour force participation - Female	50.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
32	Argentina	2023	Unemployment rate - Female	07. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2005	Labour force participation - Total	60.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2005	Unemployment rate - Total	10. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2005	Labour force participation - Male	67.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2005	Unemployment rate - Male	09. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2005	Labour force participation - Female	54.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2005	Unemployment rate - Female	11. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2010	Labour force participation - Total	61.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2010	Unemployment rate - Total	10. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2010	Labour force participation - Male	68.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2010	Unemployment rate - Male	11.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2010	Labour force participation - Female	55.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2010	Unemployment rate - Female	10.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2015	Labour force participation - Total	61.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2015	Unemployment rate - Total	12. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2015	Labour force participation - Male	69.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2015	Unemployment rate - Male	13. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2015	Labour force participation - Female	55.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2015	Unemployment rate - Female	10. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2023	Labour force participation - Total	62.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2023	Unemployment rate - Total	13.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2023	Labour force participation - Male	68.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2023	Unemployment rate - Male	15. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2023	Labour force participation - Female	57.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
51	Armenia	2023	Unemployment rate - Female	10. Sep	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
533	Aruba	2001	Unemployment rate - Total	06. Sep		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
533	Aruba	2001	Unemployment rate - Male	06. Mai		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
533	Aruba	2001	Unemployment rate - Female	07. Apr		International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
533	Aruba	2010	Labour force participation - Total	63.9	Break in the time series.	
533	Aruba	2010	Unemployment rate - Total	10. Jun	Break in the time series.	
533	Aruba	2010	Labour force participation - Male	68.9	Break in the time series.	
533	Aruba	2010	Unemployment rate - Male	10. Aug	Break in the time series.	
533	Aruba	2010	Labour force participation - Female	59.5	Break in the time series.	
533	Aruba	2010	Unemployment rate - Female	10. Apr	Break in the time series.	
533	Aruba	2011	Labour force participation - Total	63.8	Break in the time series.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
